brand,model,aliases,year_approx,timeline_era,format_primary,formats_other,max_field_w_mm,max_field_h_mm,hoop_name,hoop_w_mm,hoop_h_mm,hoop_code,trimmer,source_url,confidence,notes
Brother,PE535,,2018,PES era / WLAN DDT on recent models,pes,.dst (some models/software); verify per model,100,100,SA432 / EF62 Medium embroidery frame,100,100,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,medium,Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. entry embroidery-only 4x4 class; USB/PES | 4x4 marketing size; field rounded to 100x100 mm
Brother,PE535,,2018,PES era / WLAN DDT on recent models,pes,.dst (some models/software); verify per model,100,100,SA431 / EF61 Small embroidery frame,20,60,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,medium,Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. entry embroidery-only 4x4 class; USB/PES | 1x2.5 marketing size; converted/rounded from inches
Brother,PE535,,2018,PES era / WLAN DDT on recent models,pes,.dst (some models/software); verify per model,100,100,SA434 / EF71 Multi-position frame,100,172,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,medium,Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. entry embroidery-only 4x4 class; USB/PES | Multi-position frame; useful only with split/multi-position designs on 4x4-class machines
Brother,PE545,,2023,PES era / WLAN DDT on recent models,pes,.phc;.phx;.dst;.pen,100,100,SA432 / EF62 Medium embroidery frame,100,100,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,medium,Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. wireless successor class; DDT formats apply if WLAN enabled | 4x4 marketing size; field rounded to 100x100 mm
Brother,PE545,,2023,PES era / WLAN DDT on recent models,pes,.phc;.phx;.dst;.pen,100,100,SA431 / EF61 Small embroidery frame,20,60,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,medium,Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. wireless successor class; DDT formats apply if WLAN enabled | 1x2.5 marketing size; converted/rounded from inches
Brother,PE545,,2023,PES era / WLAN DDT on recent models,pes,.phc;.phx;.dst;.pen,100,100,SA434 / EF71 Multi-position frame,100,172,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,medium,Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. wireless successor class; DDT formats apply if WLAN enabled | Multi-position frame; useful only with split/multi-position designs on 4x4-class machines
Brother,PE550D,,2019,PES era / WLAN DDT on recent models,pes,.dst (some models/software); verify per model,100,100,SA432 / EF62 Medium embroidery frame,100,100,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,medium,Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. Disney 4x4 variant; PES primary | 4x4 marketing size; field rounded to 100x100 mm
Brother,PE550D,,2019,PES era / WLAN DDT on recent models,pes,.dst (some models/software); verify per model,100,100,SA431 / EF61 Small embroidery frame,20,60,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,medium,Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. Disney 4x4 variant; PES primary | 1x2.5 marketing size; converted/rounded from inches
Brother,PE550D,,2019,PES era / WLAN DDT on recent models,pes,.dst (some models/software); verify per model,100,100,SA434 / EF71 Multi-position frame,100,172,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,medium,Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. Disney 4x4 variant; PES primary | Multi-position frame; useful only with split/multi-position designs on 4x4-class machines
Brother,SE400,,2011,PES era / WLAN DDT on recent models,pes,.dst (some models/software); verify per model,100,100,SA432 / EF62 Medium embroidery frame,100,100,,no,https://support.brother.com/g/s/hf/pcapp_info/ddt/en/index.html?media=i_txt&prod=WLAN,low,"Brother Design Database Transfer documents wireless transfer formats .pes/.phc/.phx/.dst/.pen; non-wireless legacy rows keep PES primary and mark extra formats only where model ecosystem supports them. older USB/cable combo; PES primary, optional hoops vary | 4x4 marketing size; field rounded to 100x100 mm"
